participant_id,no_surface,yes_surface,no_gist,yes_gist
1,0.875,0.875,1,0.9375
2,1,0.8984,1,1
3,1,0.9375,1,1
4,0.875,0.6953,1,1
5,0.6562,0.5625,1,0.8672
6,1,0.8359,1,1
7,1,0.7109,1,1
8,1,0.7891,0.875,1
9,0.75,0.875,1,1
10,0.8438,0.9219,1,1
11,0.875,0.75,1,1
12,0.8438,0.8984,1,1
14,1,0.9297,1,1
15,1,0.7422,1,1
16,1,0.8984,1,1
17,0.75,0.8125,1,1
18,0.875,0.7188,1,0.9375
19,0.8438,0.875,1,0.9844
20,0.8438,0.9297,1,1
21,0.875,0.8594,1,1
22,1,0.9062,1,0.9297
23,0.75,0.875,1,1
24,1,0.9141,1,1
25,0.875,0.8594,1,1
27,0.9062,0.9062,1,1
28,0.8438,0.9844,1,1
29,1,0.9219,0.875,1
30,1,0.875,1,1
31,0.6875,0.5234,1,1
32,0.875,0.8125,1,1
33,0.6875,0.75,1,0.8594
34,1,0.7656,1,1
35,1,1,1,1
37,0.875,0.7188,1,1
38,0.8438,0.75,1,1
39,0.625,0.7344,1,1
40,0.75,0.6875,0.875,1
