n,design,distr,method,alpha,effectX1,effectX2,effectX1X2,effectX3,rateX1,rateX2,rateX1X2,rateX3,rateX1X3,rateX2X3,rateX1X2X3
22,4x2x2,bernoulli,PAR,0.05,0,0,0,0,0.0466,0.0506,0.0566,0.0484,0.0484,0.0486,0.044
22,4x2x2,bernoulli,ART,0.05,0,0,0,0,0.2122,0.2078,0.2204,0.1998,0.2154,0.197,0.213
22,4x2x2,bernoulli,PAR,0.01,0,0,0,0,0.01,0.0112,0.012,0.0112,0.0106,0.0096,0.0088
22,4x2x2,bernoulli,ART,0.01,0,0,0,0,0.0948,0.0942,0.1048,0.0954,0.097,0.0954,0.092
22,4x2x2,bernoulli,PAR,0.05,0.5,0,0,0,0.564,0.0472,0.0486,0.0444,0.0474,0.0444,0.051
22,4x2x2,bernoulli,ART,0.05,0.5,0,0,0,0.6482,0.1716,0.1894,0.1742,0.1906,0.1684,0.185
22,4x2x2,bernoulli,PAR,0.01,0.5,0,0,0,0.3198,0.0082,0.012,0.009,0.0098,0.007,0.0082
22,4x2x2,bernoulli,ART,0.01,0.5,0,0,0,0.4488,0.074,0.0828,0.0672,0.074,0.0722,0.0742
22,4x2x2,bernoulli,PAR,0.05,1,0,0,0,0.9924,0.0474,0.049,0.0462,0.0464,0.0526,0.0516
22,4x2x2,bernoulli,ART,0.05,1,0,0,0,0.9746,0.128,0.127,0.126,0.1308,0.1314,0.1308
22,4x2x2,bernoulli,PAR,0.01,1,0,0,0,0.9654,0.0092,0.0128,0.0096,0.009,0.0104,0.0114
22,4x2x2,bernoulli,ART,0.01,1,0,0,0,0.9324,0.0438,0.0504,0.0474,0.0482,0.0482,0.0474
22,4x2x2,bernoulli,PAR,0.05,0,0.5,0,0,0.0482,0.9002,0.047,0.0524,0.0534,0.0564,0.0496
22,4x2x2,bernoulli,ART,0.05,0,0.5,0,0,0.1652,0.794,0.1692,0.155,0.1614,0.158,0.1568
22,4x2x2,bernoulli,PAR,0.01,0,0.5,0,0,0.0098,0.7398,0.0098,0.0108,0.0106,0.0118,0.0102
22,4x2x2,bernoulli,ART,0.01,0,0.5,0,0,0.0652,0.656,0.067,0.0626,0.0642,0.066,0.0628
22,4x2x2,bernoulli,PAR,0.05,0,1,0,0,0.045,1,0.0454,0.0436,0.0498,0.0492,0.0448
22,4x2x2,bernoulli,ART,0.05,0,1,0,0,0.1256,0.9968,0.1148,0.1092,0.1268,0.1168,0.1222
22,4x2x2,bernoulli,PAR,0.01,0,1,0,0,0.0108,0.9996,0.0086,0.0072,0.008,0.0084,0.0088
22,4x2x2,bernoulli,ART,0.01,0,1,0,0,0.0412,0.9902,0.035,0.0352,0.0422,0.0348,0.042
22,4x2x2,bernoulli,PAR,0.05,0,0,0.5,0,0.0526,0.0478,0.1488,0.0516,0.0504,0.051,0.0492
22,4x2x2,bernoulli,ART,0.05,0,0,0.5,0,0.2236,0.1914,0.3228,0.1878,0.217,0.1942,0.212
22,4x2x2,bernoulli,PAR,0.01,0,0,0.5,0,0.0096,0.0096,0.0482,0.0096,0.0112,0.0114,0.0106
22,4x2x2,bernoulli,ART,0.01,0,0,0.5,0,0.1048,0.09,0.172,0.0882,0.1006,0.0896,0.1032
22,4x2x2,bernoulli,PAR,0.05,0,0,1,0,0.0464,0.0454,0.5424,0.0516,0.0518,0.048,0.052
22,4x2x2,bernoulli,ART,0.05,0,0,1,0,0.1874,0.172,0.6122,0.172,0.1914,0.1684,0.1882
22,4x2x2,bernoulli,PAR,0.01,0,0,1,0,0.0092,0.0092,0.311,0.0092,0.0116,0.011,0.0126
22,4x2x2,bernoulli,ART,0.01,0,0,1,0,0.0752,0.0736,0.4146,0.0706,0.079,0.069,0.0766
