SID,Difficulty,Technique,Y
s01,easy,Tech A,-18.22
s01,easy,Tech B,-5.96
s01,medium,Tech A,-6.97
s01,medium,Tech B,1.44
s01,hard,Tech A,1.70
s01,hard,Tech B,12.00
s02,easy,Tech A,-15.66
s02,easy,Tech B,-6.89
s02,medium,Tech A,-6.64
s02,medium,Tech B,3.77
s02,hard,Tech A,4.15
s02,hard,Tech B,14.16
s03,easy,Tech A,-14.06
s03,easy,Tech B,-5.55
s03,medium,Tech A,-5.61
s03,medium,Tech B,5.84
s03,hard,Tech A,5.91
s03,hard,Tech B,15.34
s04,easy,Tech A,-14.78
s04,easy,Tech B,-5.31
s04,medium,Tech A,-6.15
s04,medium,Tech B,4.09
s04,hard,Tech A,4.12
s04,hard,Tech B,14.25
s05,easy,Tech A,-14.08
s05,easy,Tech B,-4.78
s05,medium,Tech A,-6.63
s05,medium,Tech B,6.79
s05,hard,Tech A,4.87
s05,hard,Tech B,15.92
s06,easy,Tech A,-14.14
s06,easy,Tech B,-5.34
s06,medium,Tech A,-6.56
s06,medium,Tech B,6.57
s06,hard,Tech A,5.13
s06,hard,Tech B,16.56
s07,easy,Tech A,-15.12
s07,easy,Tech B,-5.01
s07,medium,Tech A,-5.66
s07,medium,Tech B,3.90
s07,hard,Tech A,4.80
s07,hard,Tech B,14.57
s08,easy,Tech A,-14.34
s08,easy,Tech B,-4.62
s08,medium,Tech A,-6.06
s08,medium,Tech B,4.42
s08,hard,Tech A,2.45
s08,hard,Tech B,15.66
s09,easy,Tech A,-15.15
s09,easy,Tech B,-3.78
s09,medium,Tech A,-4.15
s09,medium,Tech B,5.48
s09,hard,Tech A,5.99
s09,hard,Tech B,14.96
s10,easy,Tech A,-13.62
s10,easy,Tech B,-2.45
s10,medium,Tech A,-3.12
s10,medium,Tech B,4.75
s10,hard,Tech A,7.02
s10,hard,Tech B,17.23
s11,easy,Tech A,-15.81
s11,easy,Tech B,-5.88
s11,medium,Tech A,-4.10
s11,medium,Tech B,6.16
s11,hard,Tech A,4.40
s11,hard,Tech B,16.25
s12,easy,Tech A,-16.75
s12,easy,Tech B,-5.73
s12,medium,Tech A,-6.37
s12,medium,Tech B,6.41
s12,hard,Tech A,5.76
s12,hard,Tech B,14.74
s13,easy,Tech A,-14.43
s13,easy,Tech B,-3.93
s13,medium,Tech A,-5.53
s13,medium,Tech B,4.90
s13,hard,Tech A,4.68
s13,hard,Tech B,13.69
s14,easy,Tech A,-16.01
s14,easy,Tech B,-5.37
s14,medium,Tech A,-5.97
s14,medium,Tech B,3.25
s14,hard,Tech A,4.67
s14,hard,Tech B,13.33
s15,easy,Tech A,-14.94
s15,easy,Tech B,-2.40
s15,medium,Tech A,-4.77
s15,medium,Tech B,5.98
s15,hard,Tech A,7.95
s15,hard,Tech B,15.56
s16,easy,Tech A,-16.04
s16,easy,Tech B,-4.61
s16,medium,Tech A,-2.61
s16,medium,Tech B,5.90
s16,hard,Tech A,5.33
s16,hard,Tech B,15.38
s17,easy,Tech A,-13.36
s17,easy,Tech B,-3.67
s17,medium,Tech A,-3.49
s17,medium,Tech B,6.80
s17,hard,Tech A,4.26
s17,hard,Tech B,16.83
s18,easy,Tech A,-14.10
s18,easy,Tech B,-4.18
s18,medium,Tech A,-5.89
s18,medium,Tech B,3.90
s18,hard,Tech A,4.57
s18,hard,Tech B,16.72
s19,easy,Tech A,-15.80
s19,easy,Tech B,-6.34
s19,medium,Tech A,-3.78
s19,medium,Tech B,4.41
s19,hard,Tech A,3.94
s19,hard,Tech B,14.92
s20,easy,Tech A,-16.29
s20,easy,Tech B,-7.12
s20,medium,Tech A,-5.44
s20,medium,Tech B,3.71
s20,hard,Tech A,5.16
s20,hard,Tech B,14.72
