participant_id,no_surface,yes_surface,no_gist,yes_gist
1,1,1,1,0.875
2,1,1,1,0.875
3,1,1,1,0.875
4,1,1,0.75,1
5,1,0.875,1,0.875
6,1,0.75,1,1
7,1,0.75,1,1
8,1,1,1,1
9,1,1,1,1
10,0.75,1,1,0.875
11,1,1,1,1
12,1,0.875,1,1
14,0.75,0.875,1,1
15,0.75,0.625,1,0.625
16,1,1,1,1
17,0.75,1,1,0.875
18,1,0.875,1,1
19,1,1,1,0.875
20,0.75,1,1,1
21,0.75,1,1,1
22,1,1,0.75,0.875
23,1,1,1,1
24,1,0.875,1,1
25,0.5,1,1,0.875
27,1,0.875,1,1
28,1,1,0.75,1
29,1,1,0.75,1
30,1,1,1,1
31,0.5,0.5,1,1
32,1,1,1,1
33,1,0.75,1,0.75
34,1,1,1,1
35,1,1,1,1
37,1,1,1,1
38,1,0.875,1,1
39,1,0.875,1,1
40,1,1,0.75,0.875
