participant_id,no_surface,yes_surface,no_gist,yes_gist
1,1,1.285714286,5.5,5
2,1.25,1.25,6,5
3,2,1,5.75,5.375
4,2,2,5.25,5.5
5,1.25,1.285714286,5.25,4.5
6,1,1.142857143,5.25,4.625
7,1.25,1.125,5,4
8,1.25,1.285714286,5,3.875
9,1.75,1.25,5,4.875
10,1.75,1.375,5,5
11,1.5,1.25,5,5.375
12,1.25,1.125,5.25,4.75
14,1,1,5,4.5
15,1,1,5.25,5.25
16,1.25,1.375,6,5.375
17,1.5,1.375,5.25,4.875
18,1.25,1,5.75,4.125
19,1.25,1.5,3,3.625
20,1.5,1.25,5.75,5.5
21,2.75,3,5.75,5.875
22,1.75,1.142857143,3.75,4.25
23,1.75,1.75,5.5,4.75
24,1,1.125,4.75,5.125
25,1.5,1.125,5.25,5.375
27,1.5,1.375,3.75,3.75
28,1.25,1.375,5,4.125
29,1,1.125,4.5,5.5
30,1,1.25,5.25,5.25
31,1.75,2.125,5.25,5.75
32,1,1.125,4.25,4.375
33,1,1.285714286,5.5,5
34,1,1.125,5,5.5
35,1,1.125,4.25,3.75
37,1.5,1.571428571,4.25,4.875
38,1.75,1.571428571,4.75,4.625
39,1,1.666666667,4,4.375
40,1.333333333,1.285714286,4.25,4.75
