n,design,family,method,alpha,effectX1,effectX2,effectX1X2,rateX1,rateX2,rateX1X2
20,4x3,norm,PAR,0.05,0.5,0,0,0.7118,0.0534,0.0494
20,4x3,norm,RNK,0.05,0.5,0,0,0.6828,0.0562,0.0464
20,4x3,norm,ART,0.05,0.5,0,0,0.684,0.0562,0.0452
20,4x3,norm,INT,0.05,0.5,0,0,0.7084,0.054,0.0474
20,4x3,norm,PAR,0.01,0.5,0,0,0.4812,0.011,0.008
20,4x3,norm,RNK,0.01,0.5,0,0,0.4576,0.01,0.0084
20,4x3,norm,ART,0.01,0.5,0,0,0.4604,0.0106,0.008
20,4x3,norm,INT,0.01,0.5,0,0,0.479,0.0102,0.0072
20,4x3,norm,PAR,0.05,0.5,1,0,0.7206,1,0.0488
20,4x3,norm,RNK,0.05,0.5,1,0,0.6924,1,0.0458
20,4x3,norm,ART,0.05,0.5,1,0,0.6966,1,0.0448
20,4x3,norm,INT,0.05,0.5,1,0,0.718,1,0.0474
20,4x3,norm,PAR,0.01,0.5,1,0,0.4884,0.9994,0.0072
20,4x3,norm,RNK,0.01,0.5,1,0,0.4574,0.999,0.0098
20,4x3,norm,ART,0.01,0.5,1,0,0.4634,0.999,0.0076
20,4x3,norm,INT,0.01,0.5,1,0,0.487,0.9992,0.0082
20,4x3,norm,PAR,0.05,0.5,2,0,0.7152,1,0.0494
20,4x3,norm,RNK,0.05,0.5,2,0,0.6866,1,0.0484
20,4x3,norm,ART,0.05,0.5,2,0,0.693,1,0.05
20,4x3,norm,INT,0.05,0.5,2,0,0.708,1,0.049
20,4x3,norm,PAR,0.01,0.5,2,0,0.4848,1,0.0104
20,4x3,norm,RNK,0.01,0.5,2,0,0.445,1,0.0128
20,4x3,norm,ART,0.01,0.5,2,0,0.462,1,0.0084
20,4x3,norm,INT,0.01,0.5,2,0,0.4724,1,0.0096
20,4x3,norm,PAR,0.05,0.5,4,0,0.7272,1,0.0506
20,4x3,norm,RNK,0.05,0.5,4,0,0.6838,1,0.065
20,4x3,norm,ART,0.05,0.5,4,0,0.6982,1,0.0542
20,4x3,norm,INT,0.05,0.5,4,0,0.6984,1,0.0538
20,4x3,norm,PAR,0.01,0.5,4,0,0.4874,1,0.0116
20,4x3,norm,RNK,0.01,0.5,4,0,0.4398,1,0.0166
20,4x3,norm,ART,0.01,0.5,4,0,0.4636,1,0.0122
20,4x3,norm,INT,0.01,0.5,4,0,0.4538,1,0.0126
20,4x3,norm,PAR,0.05,0.5,8,0,0.71,1,0.049
20,4x3,norm,RNK,0.05,0.5,8,0,0.6692,1,0.061
